,TRIP_ID,RT_ID,RT_NAME,RT_VER,STP_NM,RT_STP_NUM,RT_NUM_STPS,RT_ID_VER,RT_DIR,RT_GRP,RT_GRP_NUM,ROUTE_ID,V_ID,STP_ARV_TM,STP_ARV_DTTM,DATA_TYPE,U_ID
154,23861158-240304-MULTI-Sunday-01,1,Queen,2,Queen St W at Mercer Dr,58,86,1_2,West,queen,463,1-344,619.0,1712548835.0,2024-04-08 00:00:35-04:00,IE,23861158-240304-MULTI-Sunday-01_1_2
155,23861158-240304-MULTI-Sunday-01,1,Queen,2,McLaughlin Rd S at FCCC Entrance,59,86,1_2,West,queen,463,,,,,,23861158-240304-MULTI-Sunday-01_1_2
156,23861158-240304-MULTI-Sunday-01,1,Queen,2,Flower City Community Campus Route 1/1A/3A/57 Stop,60,86,1_2,West,queen,463,,,,,,23861158-240304-MULTI-Sunday-01_1_2
157,23861158-240304-MULTI-Sunday-01,1,Queen,2,McLaughlin Rd S n/of Bufford Dr,61,86,1_2,West,queen,463,,,,,,23861158-240304-MULTI-Sunday-01_1_2
158,23861158-240304-MULTI-Sunday-01,1,Queen,2,McLaughlin - Zum Queen West Station Stop WB,62,86,1_2,West,queen,463,,,,,,23861158-240304-MULTI-Sunday-01_1_2
159,23861158-240304-MULTI-Sunday-01,1,Queen,2,Queen St W e/of Kimbark Dr,63,86,1_2,West,queen,463,1-344,619.0,1712548930.0,2024-04-08 00:02:10-04:00,IE,23861158-240304-MULTI-Sunday-01_1_2
160,23861158-240304-MULTI-Sunday-01,1,Queen,2,Queen St W e/of Major William Sharpe,64,86,1_2,West,queen,463,1-344,619.0,1712548985.0,2024-04-08 00:03:05-04:00,IE,23861158-240304-MULTI-Sunday-01_1_2
161,23861158-240304-MULTI-Sunday-01,1,Queen,2,Major William Sharpe Dr n/of Queen St,65,86,1_2,West,queen,463,,,,,,23861158-240304-MULTI-Sunday-01_1_2
162,23861158-240304-MULTI-Sunday-01,1,Queen,2,Major William Sharpe Dr n/of Burgby Ave,66,86,1_2,West,queen,463,,,,,,23861158-240304-MULTI-Sunday-01_1_2
163,23861158-240304-MULTI-Sunday-01,1,Queen,2,Major William Sharpe Dr opp Candy Cres (S),67,86,1_2,West,queen,463,,,,,,23861158-240304-MULTI-Sunday-01_1_2
164,23861158-240304-MULTI-Sunday-01,1,Queen,2,Flowertown Ave w/of Major William Sharpe Dr,68,86,1_2,West,queen,463,,,,,,23861158-240304-MULTI-Sunday-01_1_2
165,23861158-240304-MULTI-Sunday-01,1,Queen,2,Flowertown Ave at Chinguacousy Rd,69,86,1_2,West,queen,463,,,,,,23861158-240304-MULTI-Sunday-01_1_2
166,23861158-240304-MULTI-Sunday-01,1,Queen,2,Major William Sharpe Dr e/of Chinguacousy Rd,70,86,1_2,West,queen,463,,,,,,23861158-240304-MULTI-Sunday-01_1_2
167,23861158-240304-MULTI-Sunday-01,1,Queen,2,Queen St W at Sobey's Entrance (WB),71,86,1_2,West,queen,463,1-344,619.0,1712549047.0,2024-04-08 00:04:07-04:00,IE,23861158-240304-MULTI-Sunday-01_1_2
168,23861158-240304-MULTI-Sunday-01,1,Queen,2,Chinguacousy - Zum Queen West Station Stop WB,72,86,1_2,West,queen,463,1-344,619.0,1712549079.0,2024-04-08 00:04:39-04:00,IE,23861158-240304-MULTI-Sunday-01_1_2
169,23861158-240304-MULTI-Sunday-01,1,Queen,2,James Potter - Zum Queen West Station Stop WB,73,86,1_2,West,queen,463,,,,,,23861158-240304-MULTI-Sunday-01_1_2
170,23861158-240304-MULTI-Sunday-01,1,Queen,2,Queen St W opp Angelgate Rd,74,86,1_2,West,queen,463,1-344,619.0,1712549165.0,2024-04-08 00:06:05-04:00,IE,23861158-240304-MULTI-Sunday-01_1_2
171,23861158-240304-MULTI-Sunday-01,1,Queen,2,Creditview - Zum Queen West Station Stop WB,75,86,1_2,West,queen,463,,,,,,23861158-240304-MULTI-Sunday-01_1_2
172,23861158-240304-MULTI-Sunday-01,1,Queen,2,Queen St opp Links Lane,76,86,1_2,West,queen,463,,,,,,23861158-240304-MULTI-Sunday-01_1_2
173,23861158-240304-MULTI-Sunday-01,1,Queen,2,Queen St w/of Elbern Markell Dr,77,86,1_2,West,queen,463,1-344,619.0,1712549305.0,2024-04-08 00:08:25-04:00,IE,23861158-240304-MULTI-Sunday-01_1_2
174,23861158-240304-MULTI-Sunday-01,1,Queen,2,Mississauga Rd - Zum Queen West Station Stop WB,78,86,1_2,West,queen,463,1-344,619.0,1712549353.0,2024-04-08 00:09:13-04:00,IE,23861158-240304-MULTI-Sunday-01_1_2
175,23861158-240304-MULTI-Sunday-01,1,Queen,2,Mississauga Rd n/of Adamsville Rd,79,86,1_2,West,queen,463,1-344,619.0,1712549391.0,2024-04-08 00:09:51-04:00,IE,23861158-240304-MULTI-Sunday-01_1_2
176,23861158-240304-MULTI-Sunday-01,1,Queen,2,Mississauga Rd n/of Beacon Hill Dr,80,86,1_2,West,queen,463,,,,,,23861158-240304-MULTI-Sunday-01_1_2
177,23861158-240304-MULTI-Sunday-01,1,Queen,2,Mississauga Rd at Credit Ridge Commons,81,86,1_2,West,queen,463,1-344,619.0,1712549463.0,2024-04-08 00:11:03-04:00,IE,23861158-240304-MULTI-Sunday-01_1_2
178,23861158-240304-MULTI-Sunday-01,1,Queen,2,Williams - Zum Queen West Station Stop NB,82,86,1_2,West,queen,463,,,,,,23861158-240304-MULTI-Sunday-01_1_2
179,23861158-240304-MULTI-Sunday-01,1,Queen,2,Mississauga Rd s/of Royal West Dr,83,86,1_2,West,queen,463,,,,,,23861158-240304-MULTI-Sunday-01_1_2
180,23861158-240304-MULTI-Sunday-01,1,Queen,2,Bovaird - Zum Queen West Station Stop EB,84,86,1_2,West,queen,463,1-344,619.0,1712549631.0,2024-04-08 00:13:51-04:00,IE,23861158-240304-MULTI-Sunday-01_1_2
304,23861159-240304-MULTI-Sunday-01,1,Queen,2,Bramalea Rd at Kensington Rd,25,86,1_2,West,queen,463,1-344,823.0,1712548998.0,2024-04-08 00:03:18-04:00,IE,23861159-240304-MULTI-Sunday-01_1_2
305,23861159-240304-MULTI-Sunday-01,1,Queen,2,Knightsbridge Rd w/of Bramalea Rd,26,86,1_2,West,queen,463,1-344,823.0,1712549003.0,2024-04-08 00:03:23-04:00,IE,23861159-240304-MULTI-Sunday-01_1_2
